"","Artist.Reputation","Height","Base.Shipping.Price","Weight_log","Price_of_Sculpture_log"
"51",0.17,47,63.79,8.6347984334905,2.98669152890184
"53",0.98,15,20.04,8.26152644839647,1.70292825552144
"54",0.3,22,54.25,12.7514591035973,5.90066418278148
"55",0.25,15,18.09,6.31535800152233,1.10856261952128
"57",0.31,7,22,6.0282785202307,1.74919985480926
"58",0.12,26,16.83,6.36818718635049,1.25276296849537
"59",0.61,31,45.19,13.136765171914,7.22785129717235
"62",0.49,7,23.76,8.46294817656384,2.91235066461494
"63",0.68,39,22.39,8.29304913976844,2.46470394247048
"64",0.18,15,54.29,9.69443180053954,3.84181511038465
"65",0.38,44,15.69,7.88720858581393,1.48839958405704
"66",0.67,34,44.95,14.9632577132898,9.27094899366462
"67",0.68,15,72.82,11.8757544339925,6.0145461065513
"68",0.04,35,18.45,6.32256523992728,1.71918877639322
"70",0.65,32,14.81,7.66622192566273,2.29958058397375
"71",0.84,18,45.79,9.24773249119325,3.26193531432865
"72",0.69,26,59.65,13.1709077970953,7.35670762668735
"73",0.36,25,95.89,9.55208440252649,3.52871070196111
"74",0.22,8,24.47,6.66949808985788,1.43983512804792
"75",0.11,17,94.13,11.8013847353255,5.34981813941044
"77",0.58,10,18.67,6.20657592672493,1.11841491596429
"79",0.45,9,13.52,7.12849594568004,1.79508725932073
"81",0.97,30,13.39,6.35437004079735,1.52169899812609
"82",0.87,19,95.79,12.4301917208661,7.23241516655549
"83",0.93,30,13.29,6.92362862813843,2.29152414563462
"84",0.38,12,17.29,7.65539064482615,1.42551507427317
"85",0.5,16,18.85,7.06561336359772,1.20597080698861
"86",0.18,15,15.4,6.16751649088834,1.8484548129046
"87",0.38,56,67.44,10.835828783229,3.85397007397953
"88",0.88,25,55.12,13.5526030459646,8.27633617897767
"89",0.22,23,22.3,5.84354441703136,1.82937633279936
"91",0.49,16,16.52,6.8501261661455,1.70292825552144
"92",0.88,24,54.34,13.5917105412238,7.97134815001586
"94",0.03,41,18.88,6.20253551718792,1.71918877639322
"95",0.28,37,27.4,9.15556734612889,3.01602497682175
"97",0.86,14,17.02,8.21446516075919,2.11625551480255
"98",0.99,8,21.85,5.00394630594546,1.93441576962958
"99",0.27,37,29.16,8.90449432889673,3.35095616522541
"100",0.42,24,23.52,8.48632152774915,3.47877551630753
"101",0.3,23,20.65,7.05012252026906,1.31103187661934
"102",0.99,30,14.04,7.00669522683704,1.77664583141801
"103",0.34,23,24.48,6.10924758276437,1.5993875765806
"105",0.51,29,20.82,7.59890045687141,2.43798973000025
"106",0.36,9,11.28,4.14313472639153,1.45861502269952
"107",0.77,10,23.04,6.29341927884648,1.66392609771817
"109",0.79,23,88.79,11.9372450385929,6.47353569507517
"110",0.18,26,16.18,7.38150189450671,1.880990602956
"111",0.87,7,19.81,7.66152708135852,1.65249740189455
"112",0.32,41,88.99,8.96571778898485,2.7868613815265
"113",0.58,28,17.24,6.79794041297493,1.1999647829284
"114",0.03,7,17.06,7.68156036255954,1.53686721959926
"115",0.4,18,15.7,5.77455154554441,1.66959183525385
"116",0.57,4,18.99,3.25809653802148,1.14740245283754
"118",0.48,24,70.13,10.9859027063017,5.76537917287285
"120",0.41,11,21.32,6.70318811324086,1.708377860289
"122",0.16,20,14.31,7.93630269320196,1.10856261952128
"123",0.47,22,92.24,9.85003403180204,4.71007059581346
"124",0.46,12,15.31,7.27793857294566,2.287471455184
"125",0.65,4,13.77,4.35670882668959,1.53255686809814
"126",0.32,35,15.16,6.19644412779452,1.20896034583698
"128",0.29,42,72.17,9.55534751104723,2.53290284805626
"129",0.95,44,57.31,9.32331185063534,4.11283914485827
"131",0.48,18,10.98,6.72982407048948,1.13783300182139
"132",0.58,34,13.34,6.13772705408623,1.3297240096315
"135",0.87,26,60.7,12.6575080727632,7.52123134948427
"136",0.25,19,74.41,9.06508335931904,2.83556352140117
"137",0.21,27,77.67,10.0453776635357,2.8136106967627
"139",0.47,11,13.13,7.18387071506245,1.42310833424261
"140",0.84,4,15.75,3.76120011569356,1.22082992139236
"141",0.55,35,87.86,10.9987107714562,5.4731106569212
"143",0.54,35,92.17,12.5379414454341,5.93597826388985
"144",0.1,7,14.13,7.88833450073865,1.63315443905142
"145",0.34,8,97.79,8.54733434832822,2.18829594659192
"147",0.25,14,79.85,8.63905677917308,2.32630161961136
"148",0.35,32,99.59,11.4244111409395,6.12315048793336
"149",0.65,31,24.77,8.40626163070896,3.29953372788566
"151",0.22,16,20.81,8.11072758297449,2.41769790009455
"152",0.58,15,88.26,10.6947817942356,4.45910340985331
"154",0.74,19,10.47,6.83410873881384,2.23857976301813
"156",0.74,23,17.91,7.24708058458576,1.70292825552144
"157",0.37,23,65.95,13.0039694051642,7.76601427460484
"158",0.13,31,25.76,12.7328788961626,5.18755338956318
"159",0.27,14,21.65,5.81413053182507,1.42310833424261
"160",0.45,36,33.45,11.6119559884332,5.23946929073883
"161",0.43,4,22.2,3.46573590279973,1.42551507427317
"163",0.17,14,22.54,5.97380961186926,1.84530023615608
"164",0.5,30,16.11,6.76849321164863,1.85785927093258
"165",0.43,15,13.89,5.09375020080676,1.16002091679675
"166",0.12,24,52.35,12.617410475401,6.57358239681817
"167",0.64,12,21.02,5.65248918026865,1.28647402583768
"168",0.41,16,20.07,4.84418708645859,1.64480505627139
"169",0.78,16,11.17,5.58724865840025,1.16002091679675
"170",0.42,10,24.71,4.04305126783455,1.93441576962958
"172",0.25,37,69.33,9.51863356833207,3.47908392031923
"173",0.81,25,20.51,5.39362754635236,1.16315080980568
"175",0.67,22,78.79,12.3954029171347,6.49452510059872
"177",0.69,13,11.62,7.19142933003638,1.85002837735203
"178",0.52,6,81.56,8.65538869016764,3.41870980674679
"179",0.18,20,10.66,5.05624580534831,1.60542989103656
"180",0.71,45,10.78,6.72383244082121,1.4655675420144
"182",0.41,16,54.25,10.9909883364495,3.87390568331502
"184",0.11,7,12,6.0913098820777,1.23256026117785
"185",0.81,33,60.9,11.5016926120371,5.55759996447812
"186",0.17,27,11.65,5.34710753071747,1.28647402583768
"188",0.31,3,21.44,2.83321334405622,1.61342993370364
"189",0.96,10,16.25,5.53733426701854,1.81807677754543
"190",0.5,29,59.41,14.175110420156,8.46497315194361
"191",0.81,46,73.21,10.9158154726072,5.3315103339038
"192",0.59,39,93.12,9.6135362406403,4.04637905792722
"193",0.66,8,10.71,4.52178857704904,1.93296963777958
"195",0.31,5,13.32,5.85507192220243,1.75958057086382
"196",0.22,36,11.85,8.00736706798333,1.71199450075919
"197",0.44,33,15.94,7.11882624906208,1.83577635464483
"198",0.44,27,78.71,12.2284454963819,5.62354808194559
"199",0.26,4,17.56,2.63905732961526,1.88555334851442
"201",1,43,86.23,10.685903975854,4.74875091446562
"202",0.89,7,16.9,5.99893656194668,1.71199450075919
"203",0.08,20,53.8,12.3997173528053,5.53069812321473
"205",0.35,6,11.95,7.64539769942863,2.26384426467762
"206",0.82,10,18.17,4.17438726989564,1.12167756159911
"208",0.35,44,69.04,15.8874854182287,9.73981913910535
"209",0.15,18,19.31,6.62406522779989,1.48387468945875
"210",0.37,30,48.93,10.1361060742129,4.49099314092569
"211",0.12,23,23.83,4.85203026391962,1.86408013080768
"212",0.19,7,21.18,4.65396035015752,1.51732262352629
"213",0.89,50,36.74,11.4909763355859,6.91329987923749
"214",0.43,42,45.38,9.24705795491135,2.88312332917134
"215",0.1,20,19.12,6.57507584059962,1.78002421300963
"216",0.63,19,17.03,7.71423114484909,2.32336763217657
"217",0.26,15,14.58,8.45998771764546,1.84213567655312
"219",0.58,3,11.99,3.58351893845611,1.47932922708708
"221",0.54,10,23.35,4.26267987704132,1.8229350866965
"224",0.72,12,20.26,5.82008293035236,1.83736998048011
"225",0.46,40,40.12,15.3915166015079,10.0886866319546
"229",0.42,20,15.33,5.80211837537706,1.78507048107726
"230",0.42,20,38.87,10.9118468522267,3.8584112359795
"231",0,6,18.51,4.36944785246702,1.33500106673234
"232",0.15,46,70.93,14.9762660011687,7.93813868995998
"233",0.64,42,72.47,8.77909581088053,3.2561716096119
"234",0.6,15,15.44,5.79605775076537,1.62924053973028
"236",0.68,23,47.69,12.4380094228663,7.5519327792606
"238",0.76,24,89.85,12.907837586297,7.70852740943241
"239",0.18,11,14.94,7.63288550539513,1.67896397508271
"240",0.24,28,15.43,6.79794041297493,1.34286480319255
"241",0.07,38,53.85,9.46908270053026,1.95727390770563
"243",0.06,13,59.6,10.595534127652,4.03636227968375
"244",0.59,7,13.07,4.78749174278205,1.38879124131848
"245",0.4,4,20.8,5.42053499927229,1.6467336971778
"246",0.05,23,18.06,5.01727983681492,1.83418018511201
"250",0,31,93.14,14.3111947262744,7.07425228542912
"251",0.16,20,40.64,10.1784642524904,3.80888224650863
"252",0.63,7,12.04,6.56526497003536,1.88858365386359
"257",0.18,17,22.08,6.46614472423762,1.92278773163446
"258",0.22,11,23.25,6.4281052726846,1.28923264827676
"259",0.01,28,14.65,6.3818160174061,1.71739505393919
"260",0.65,14,17.36,5.09375020080676,1.14422279992016
"261",0.33,31,96.09,13.7089737952435,7.97383060174514
"263",0.44,47,14.61,8.25035895147729,2.09924416897602
"265",0.62,28,37.38,9.91269503328704,3.24571247882176
"267",0.52,9,13.91,6.08904487544685,1.66392609771817
"268",0.34,29,94.99,10.8399533913469,4.71438327096141
"269",0.9,38,54.95,9.99993345080438,5.32690482339995
"271",0.28,7,24.77,4.72738781871234,1.64865862558738
"273",0.65,6,16.61,8.50268850521336,3.45062226498968
"274",0.58,13,13.8,7.98378106897745,1.79508725932073
"275",0.81,9,18.8,4.24849524204936,1.85159946958407
"276",0.19,23,66.31,8.92704864782569,2.72457950305342
"277",0.22,32,82.5,9.32295451634532,2.29152414563462
"278",0.82,25,95.46,8.90707077618269,3.07639017657145
"279",0.49,32,91.52,10.3407096922575,4.55166391846495
"280",0.28,23,93.4,13.5099455344583,6.16459819066791
"283",0.33,8,10.77,7.84306401669205,2.31648799816304
"284",0.39,15,72.63,10.3259736449786,3.63045553397622
"286",0.12,19,46.89,11.6047568735878,4.42424765010784
"287",0.49,5,15.87,3.55534806148941,1.51512723296286
"290",0.96,18,22.25,4.81218435537242,1.45395300959371
"291",0.72,11,15.97,5.62401750618734,1.62334081760309
"292",0.64,38,75.61,16.2310907091894,9.73031739367202
"293",0.02,36,56.81,8.53168763756669,2.01490302054226
"294",0.77,17,60.76,9.63919643287492,4.26084721282216
"296",0.48,24,82.37,9.14676139033331,3.88977739648083
"299",0.41,14,42.33,11.4568629210337,6.10479323241498
"301",0.79,5,12.44,7.18235211188526,1.93007108502557
"302",0.41,30,51.54,9.75533551151227,2.09309786812732
"304",0.46,26,93.18,13.3829121487071,6.95404708676142
"305",0.4,39,62.86,9.70430463866676,4.60346873934833
"306",0.34,8,21.2,4.69134788222914,1.27815220250019
"308",0.16,34,75.61,12.4019066631008,5.14382496167276
"309",0.31,23,46.94,9.83558337392225,3.7220724214697
"311",0.36,48,12.2,7.99799931797973,1.8961194845523
"312",0.27,28,18.1,7.7066129139642,1.79674701073909
"313",0.79,35,25.87,10.3708940621845,4.97976363042917
"314",0.46,17,57.85,12.1327758827187,6.51992869347801
"316",0.22,28,20.6,7.43248380791712,1.45861502269952
"317",0.03,7,11.17,3.8286413964891,1.31640823365572
"318",0.91,21,14.92,6.70196036600254,1.63119940421561
"320",0.79,4,11.55,3.68887945411394,1.58719230348678
"321",0.87,5,11.47,4.969813299576,1.78842056796254
"322",0.3,9,13.16,5.73979291217923,1.92716410623426
"326",0.5,18,29.65,8.59840444684106,3.75232362667047
"327",0.62,15,35.08,10.2839424976401,4.59188229166116
"329",0.04,42,55.29,15.2991512064321,8.04609456287754
"331",0.44,23,23.82,6.70808408385307,1.72988406550997
"332",0.72,9,80.43,8.84635304331433,4.05871738457895
"333",0.82,4,13.28,3.71357206670431,1.51292701205326
"334",0.53,40,11.46,7.73543335249969,1.76473079684014
"335",0.55,3,23.19,1.6094379124341,1.8229350866965
"336",0.39,36,46.51,8.72453251118548,2.45873377548398
"337",0.14,48,79.1,14.0537704790848,7.46468746928836
"338",0.75,16,75.3,8.9187841379758,4.1402734941105
"339",0.45,10,24.06,4.06044301054642,1.87946504964716
"341",0.39,32,90.63,13.5023041604785,7.44264502519701
"342",0.47,20,19.18,6.54534966033442,1.82776990675109
"344",0.38,34,93.73,14.4188375113148,8.28429219064605
"345",0.57,13,13.62,6.1463292576689,1.28923264827676
"346",0.57,17,20.35,8.1789193328484,3.26155209914864
"347",0.39,25,98.51,8.98969370086056,1.62334081760309
"348",0.71,7,16.18,5.49306144334055,1.8213182714696
"349",0.68,42,28.58,11.9233781145894,5.80389926599097
"350",0.66,33,34.93,13.2324672256521,7.03802887073135
"351",0.9,13,17.76,5.28826703069454,1.61938824328727
"352",0.3,9,23.88,8.5137873982814,2.98264703400534
"353",0.36,30,26.66,12.4142324998302,4.5940081212819
"355",0.33,16,14.78,8.17835816560584,2.13771044980381
"357",0.52,32,56.5,14.383610255548,8.6073866668229
"358",0.14,5,16.58,7.16857989726403,1.34025042261848
"359",0.22,22,20.36,7.73061406606374,1.96290772542388
"360",0.35,14,20.96,7.95542508891267,1.28370777234479
"361",0.18,15,22.57,5.08140436498446,1.35840915763035
"364",0.22,15,77.7,11.9294360136509,5.90438044020087
"365",0.32,9,16.57,6.72623340235875,1.93730177451871
"366",0.16,22,20.63,6.18208490671663,1.83736998048011
"367",0.4,12,12.26,6.75460409948796,1.60743590976343
"369",0.35,36,96.82,14.8912915174455,8.87640072563914
"371",0.59,16,80.23,11.0334531488622,5.26269018890489
"372",0.3,30,38.64,13.8710370297998,8.5382127250403
"375",0.1,3,10.44,2.63905732961526,1.43983512804792
"378",0.86,18,24.03,7.52617891334615,2.61958321977988
"380",0.23,8,14.45,5.27299955856375,1.7732559976635
"381",0.05,7,18.7,8.35208267135264,1.48613969608961
"382",0.19,23,34.62,8.63586472113374,1.99605993274078
"383",0.71,30,68.29,9.41417877223239,3.64909858410209
"384",0.74,15,22.97,7.35500192110526,2.26072088889535
"385",0.99,12,17.66,6.07073772800249,1.67709656090792
"387",0.34,26,83.89,9.78459139759227,3.80621794653117
"388",0.18,15,24.08,5.19295685089021,1.32175583998232
"394",0.29,15,19.16,6.48157712927643,1.74571553072665
"395",0.73,35,83.63,10.8798192064954,4.89155141270682
"396",0.12,15,14.65,6.9555926083963,1.59127394180643
"397",0.56,21,22.96,5.94542060860658,1.11185751541813
"398",0.03,11,15.61,5.75890177387728,1.46093790411566
"399",0.4,18,95.98,9.10708874216571,2.90690105984738
"400",0.38,22,81.55,9.47370413677676,3.54066942694875
"401",0.1,14,25.84,10.2920438422414,3.01798288248881
"402",0.73,24,46.09,9.82757795843578,3.05823747890539
"403",0.05,31,33.66,13.975049551861,6.74851332726403
"404",0.75,18,17.95,7.59890045687141,2.5687881337687
"405",0.68,6,19.95,4.95582705760126,1.86562931779451
"407",0.66,8,21.93,6.59441345974978,1.65249740189455
"408",0.08,44,49.97,15.3379435661151,8.83539088976118
"409",0.59,15,23.94,8.43489794868941,2.40604380136228
"411",0.67,10,24.78,6.98378996525813,1.56234630490025
"412",0.53,24,24.08,7.08506429395255,1.93152141160321
"413",0.5,42,70.97,11.5230144000788,6.39250320626323
"416",0.62,24,11.67,7.14677217945264,2.10291389786498
"417",0.92,15,13.8,7.36833968631138,2.56186769092413
"418",0.07,4,14.52,4.45434729625351,1.90805992492422
"419",0.75,26,20.7,7.64396194900253,1.39128190263093
"420",0.36,15,14.46,6.08221891037645,1.708377860289
"421",0.1,47,84.54,12.5653332437818,6.41409809713618
"422",0.08,5,22.67,4.76217393479776,1.30019166206648
"423",0.01,12,21.85,4.98360662170834,1.89461685466776
"426",0.4,19,95.69,9.58541499876028,2.96990151351947
"427",0.46,7,12.19,7.65254569269392,1.49290409617815
"429",0.46,38,58.48,10.5248164453056,4.78915702210111
"430",0.55,28,38.01,13.5475435272738,6.99509743459182
"431",0.02,15,13.12,6.82762923450285,1.90508815453506
"433",0.9,9,15.73,4.91998092582813,1.43508452528932
"435",0.67,8,11.21,6.44571981938558,1.34547236659964
"436",0.31,28,97.67,12.9770624229862,6.35144402505501
"437",0.14,16,42.22,8.77043908654689,2.54238908520136
"441",0.46,21,15.37,6.59714570188665,1.77664583141801
"442",0.99,5,14.5,7.13886699994552,2.42391737816157
"443",0.13,29,65.75,9.81591238028017,2.66305283517147
"444",0.86,11,50.17,10.1571991054168,5.47050440886139
"445",0.11,51,64.26,9.00060650757189,3.52311998561896
"446",0.66,10,14.95,5.5834963087817,1.32707500145992
"447",0.29,20,10.96,6.19031540585315,1.24703229378638
"448",0.2,26,92,13.4866619872132,7.24072137627406
"449",0.5,33,21.24,7.84227877911735,2.2181159363676
"450",0.05,36,77.37,10.0025180759991,3.49771894865278
"452",0.1,34,29,11.5700899899026,4.46487310044937
"454",0.77,14,15.52,6.5510803350434,1.54756250871601
"455",0.5,24,29.29,9.46475000516439,3.69759139471596
"456",0.84,3,17.43,4.89783979995091,1.65822807660353
"458",0.36,19,87.61,9.11261728344757,2.598235335095
"460",0.75,30,16.04,8.4767877767812,1.79840401194672
"461",0.62,30,59.51,9.42367598229931,3.66047997959224
"462",0.94,17,11.5,6.50876913697168,1.25561603747777
"463",0.33,15,16.57,7.90654723236804,2.44321622273379
"465",0.27,7,52.09,9.07038841154874,2.92154737536461
"470",0.53,14,23.63,7.11801620446533,1.23256026117785
"472",0.63,5,13.47,3.25809653802148,1.86872051036418
"473",0.02,7,15.53,3.52636052461616,1.20597080698861
"474",0.38,14,23.56,8.14089846060785,2.74534598584591
"475",0.28,27,56.29,9.09155683598622,3.4913427315135
"477",0.42,19,12.37,6.24222326545517,1.91839212016142
"478",0.26,45,21.2,7.23921497377981,1.16627093714192
"481",0.19,25,82.19,14.9586655905715,7.44001748852444
"482",0.14,22,21.37,6.98933526597456,1.79175946922805
"484",0.49,13,79.65,8.89151157052756,2.95334655705755
"485",0.81,29,17.47,5.34233425196481,1.8099267731835
"486",0.61,11,18.45,5.08140436498446,1.55603713570699
"487",0.64,32,59.21,9.73790511174645,3.98210861299483
"488",0.91,8,48.22,9.16083495207234,4.49936512709111
"489",0.29,5,18.18,7.77569574991525,1.71199450075919
"492",0.08,32,12.55,6.73101810048208,1.44691898293633
"493",0.7,19,22.23,7.56475701290573,1.89461685466776
"494",0.39,33,22.32,7.40913644392013,1.92861865194525
"495",0.48,11,22.26,5.95842469302978,1.76473079684014
"496",0.25,52,86.5,11.5062129866107,5.55532113535035
"497",0.57,21,20.55,8.36357570275064,3.00864849882054
"498",0.13,36,21.91,6.88857245956536,1.89009536994892
"499",0.2,21,71.68,10.2119644069946,2.99473177322041
"500",0.74,17,20.91,6.93049476595163,1.30562645805244
"501",0.12,37,77.43,9.76600550921487,4.31748811353631
"504",0.89,10,17.59,3.76120011569356,1.85159946958407
"505",0.51,9,16.96,5.78996017089725,1.18784342239605
"506",0.73,22,84.21,13.0493452726678,7.92502373610427
"507",0.57,31,44.1,11.0664821001335,5.39180770963538
"508",0.14,16,17.64,4.61512051684126,1.84371920815877
"511",0.29,12,16.51,7.72488843932307,1.62531126159039
"512",0.19,36,93.62,13.4465504595919,7.17688888734617
"514",0.38,34,63.16,9.5324238711453,3.31998732623661
"515",0.32,19,30.88,12.237745715985,6.61410878803032
"517",0.27,24,11.98,6.89972310728487,1.37118072330984
"520",0.74,13,20.22,7.74240202181578,2.30757263450508
"521",0.7,24,11.5,7.22475340576797,1.68824909285839
"522",0.49,14,68.97,10.9923019987241,4.47881299711157
"523",0.55,30,27.57,13.9940240399028,7.86773365547639
"525",0.19,12,43.43,9.62185381861855,2.39242579699384
"526",0.35,14,27.81,9.85129912079054,4.39469603777454
"528",0.81,33,13.14,7.66762609158499,1.2947271675944
"529",0.54,26,93.29,9.54866802909686,4.02784857093374
"530",0.35,40,44.9,10.1188408383753,4.60507018098776
"531",0.37,12,33.78,10.5691607560953,4.25476128362801
"532",0.52,15,44.02,8.62263370387423,2.54002594900908
"533",0.55,17,23.25,5.68017260901707,1.72097928716701
"534",0.38,29,37.23,10.8412657660517,5.46111625685313
"535",0.12,15,20.05,7.62608275807238,1.31908561142644
"537",0.22,18,44.88,13.0453505749286,6.97355238277219
"538",0.13,45,91.54,11.3642862358241,4.12987256828125
"539",0.6,8,14.53,4.07753744390572,1.70474809223843
"540",0.32,34,86.36,9.13410706597659,2.56263899832835
"541",0.71,17,51.8,8.74065669154137,3.69858222957532
"542",0.36,42,94.97,11.1086047018495,4.85382552647102
"544",0.12,9,22.53,4.43081679884331,1.60341984010854
"545",0.36,13,16.54,7.76344638872736,1.66203036255327
"546",0.93,31,20.05,5.98141421125448,1.64865862558738
"547",0.04,20,13.5,6.37842618365159,1.56234630490025
"548",0.82,9,10.94,6.75343791859778,1.83736998048011
"549",0.27,8,77.68,9.40779681635441,3.24454357161678
"551",0.18,14,12.52,6.71295620067707,1.63315443905142
"552",0.15,21,81.24,11.8048335950479,5.97566539519901
"553",0.51,34,40.25,13.6169998613574,8.17402095987224
"555",0.06,12,23.56,7.89282552625112,1.88403474533723
"557",0.77,15,11.49,4.26267987704132,1.47247205736094
"558",0.14,35,14.3,6.65027904858742,1.22377543162212
"559",0.26,27,10.86,5.87773578177964,1.44456326924387
"561",0.74,18,11.79,4.82028156560504,1.11185751541813
"562",0.67,20,14.67,6.96602418710611,1.75267208052001
"563",0.54,5,19.4,3.89182029811063,1.63119940421561
"565",0.54,26,98.75,14.4190190951088,8.2046854975288
"566",0.25,40,13.15,6.63725803128446,1.15373158788919
"567",0.16,31,83.61,8.61268517287546,1.71559810826249
"568",0.64,4,12.89,3.43398720448515,1.61541998411165
"569",0.69,6,21.12,2.89037175789616,1.53255686809814
"570",0.21,6,21.43,6.19236248947487,1.80170980008122
"571",0.3,19,23.3,6.7202201551353,1.79009141212736
"572",0.62,23,57.84,11.1260122022566,5.76346547681737
"574",0.37,14,11,7.1276936993474,1.85159946958407
"576",0.65,14,19.2,4.83628190695148,1.16938135955632
"577",0.49,31,61.68,14.1725939184896,7.35669486067558
"578",0.23,17,20.91,5.73334127689775,1.708377860289
"580",0.12,25,33.26,14.0246030539358,6.80935934312587
"581",0.32,36,68.35,10.2043696204519,4.62556087563583
"582",0.45,3,22.39,2.56494935746154,1.10525683138678
"583",0.57,20,18.83,7.21303165983487,2.08193842187842
"585",0.47,5,14.99,6.33859407820318,1.91985947185537
"587",0.84,35,18.95,7.5109777520141,1.95160817016995
"589",0.21,27,15.8,6.53233429222235,1.34807314829969
"590",0.7,14,26.38,11.2137104767047,5.03207057481632
"591",0.9,6,22.06,5.95583736946483,1.88251383249652
"593",0.26,28,82.99,14.3020916437395,8.407552417397
"594",0.28,22,23.29,6.57786135772105,1.62136648329937
"595",0.06,28,10.88,6.25575004175337,1.29198368164865
"597",0.62,12,97.38,9.93595474267363,3.25924971900647
"598",0.64,29,20.9,7.26192709270275,1.9139771019523
"600",0.51,29,11.62,6.74051935960622,1.47932922708708
"601",0.18,30,69.76,10.9579215260917,3.32970137995709
"602",0.67,5,24.2,5.93753620508243,1.38128181929635
"603",0.66,4,11.64,3.93182563272433,1.43270073393405
"607",0.11,20,36.62,8.81892608709068,2.00955541421567
"608",0.15,8,12.89,8.25426877009018,1.60140574073684
"609",0.78,9,19.34,5.10594547390058,1.12492959698548
"610",0.61,25,16.68,6.53087762772588,1.83896107071235
"612",0.22,23,16.76,8.00570067866254,1.52388002407245
"613",0.81,10,11.16,8.20056279700856,2.43886271128659
"615",0.19,41,77.72,9.98030969513741,4.29878088607061
"616",0.01,29,17.5,6.91174730025167,1.80005827204275
"617",0.07,20,12.83,7.46508273639955,1.7404661748405
"618",0,6,11.89,8.34735341212434,1.8484548129046
"620",0.02,38,70.41,9.84771053706713,2.12465388450138
"621",0.97,9,18,8.46737249643228,3.34920208654377
"622",0.34,38,23.82,7.02908756414966,1.85785927093258
"623",0.29,15,36.32,11.7797643188985,5.79322700024863
"624",0.38,14,16.52,4.93447393313069,1.39376637595859
"626",0.32,24,70.44,9.0280988119824,3.68912942286914
"627",0.97,11,14.42,5.68697535633982,1.68824909285839
"628",0.14,16,11.85,8.29279885820037,2.2321626286975
"630",0.85,43,19.71,8.24275634571448,3.47010136030937
"631",0.78,26,98.71,9.29981537840379,4.11251186617755
"632",0.24,15,10.7,8.37632063253482,1.55392520250384
"633",0.75,15,70.21,11.822481547335,7.13114679954943
"634",0.16,32,22.01,7.028201432058,1.8484548129046
"637",0.3,10,18.72,6.37672694789863,1.85473426838944
"638",0.27,33,74.7,10.6927854686253,2.84549061022345
"639",0.86,12,17.86,7.67229245562876,2.03861954715958
"641",0.87,16,51.03,10.2469708682884,4.67981372898386
"642",0.6,13,19.7,4.51085950651685,1.89761985992753
"643",0.05,21,75.99,12.6219170353832,5.49227924449867
"644",0.37,18,94.37,11.4534726563125,4.75384877835945
"645",0.5,11,24.92,4.64439089914137,1.7561322915849
"646",0.44,13,43.5,8.73423818426858,3.28877495224787
"647",0.01,3,12.15,3.46573590279973,1.17865499634165
"648",0.79,44,20.97,6.61606518513282,1.62924053973028
"650",0.67,14,13.54,6.74405918631135,1.6752256529721
"651",0.94,5,23.53,4.12713438504509,1.8196988379173
"652",0.64,5,15.91,5.75257263882563,1.74745921033147
"655",0.61,14,10.23,8.06211758275474,2.54788144894939
